years,abbreviation,defensive_simple_rating_system,interceptions,points_against
2002,KAN,-2.3,13,399
2002,RAI,4.3,10,304
2002,NOR,-3.3,15,388
2002,PHI,3.8,11,241
2002,ATL,1.5,12,314
2002,GNB,1.2,16,328
2002,DEN,1.9,20,344
2002,PIT,-0.4,22,345
2002,MIN,-6.1,23,442
2002,NWE,1.9,14,346
2002,BUF,-2.3,15,397
2002,MIA,4.4,15,301
2002,SFO,-0.1,10,351
2002,OTI,0.1,15,324
2002,NYJ,2.3,10,336
2002,SEA,-1.2,16,369
2002,CLT,0.7,19,313
2002,TAM,9.8,10,196
2002,CLE,1.7,22,320
2002,SDG,0.2,16,367
2002,JAX,1.1,9,315
2002,NYG,3.0,14,279
2002,RAV,-0.6,14,354
2002,RAM,-1.8,27,369
2002,WAS,-2.2,20,365
2002,DET,-6.7,25,451
2002,CHI,-0.9,18,379
2002,CIN,-6.9,22,456
2002,CRD,-4.5,22,417
2002,CAR,2.8,22,302
2002,DAL,-0.3,16,329
2002,HTX,-1.1,15,356
2003,KAN,-0.9,12,332
2003,RAM,-0.2,23,328
2003,CLT,-1.2,10,336
2003,GNB,1.9,21,307
2003,OTI,-0.5,9,324
2003,MIN,-1.1,13,353
2003,SEA,0.5,16,327
2003,RAV,3.0,19,281
2003,SFO,0.1,15,337
2003,DEN,3.1,18,301
2003,PHI,1.5,11,287
2003,NWE,4.9,13,238
2003,CIN,-3.5,15,384
2003,NOR,-0.4,8,326
2003,CAR,0.6,16,304
2003,SDG,-6.2,19,441
2003,MIA,4.1,19,261
2003,TAM,4.5,22,264
2003,PIT,1.4,17,327
2003,ATL,-5.4,21,422
2003,DAL,2.7,21,260
2003,WAS,-3.8,16,372
2003,NYJ,1.3,14,299
2003,CHI,0.7,20,346
2003,JAX,0.9,17,331
2003,RAI,-1.3,14,379
2003,DET,-1.6,24,379
2003,HTX,-1.5,18,380
2003,CLE,2.4,18,322
2003,NYG,-3.7,20,387
2003,BUF,4.0,17,279
2003,CRD,-6.2,22,452
2004,CLT,-0.3,10,351
2004,KAN,-4.7,17,435
2004,SDG,3.0,8,313
2004,NWE,6.5,14,260
2004,GNB,-4.0,19,380
2004,MIN,-4.7,12,395
2004,BUF,3.5,17,284
2004,PHI,3.5,11,260
2004,DEN,4.3,20,304
2004,CIN,-1.6,22,372
2004,PIT,5.6,13,251
2004,SEA,-3.3,18,373
2004,CAR,0.1,15,339
2004,NOR,-4.3,16,405
2004,OTI,-4.6,19,439
2004,ATL,-0.4,16,337
2004,NYJ,6.0,11,261
2004,RAI,-3.7,22,442
2004,RAM,-3.8,22,392
2004,RAV,6.8,11,268
2004,HTX,1.8,14,339
2004,NYG,-1.6,13,347
2004,TAM,1.3,18,304
2004,DET,-1.4,13,350
2004,DAL,-4.8,23,405
2004,CRD,0.2,18,322
2004,CLE,-1.9,21,390
2004,MIA,0.5,26,354
2004,JAX,6.4,11,280
2004,SFO,-8.6,21,452
2004,WAS,4.0,17,265
2004,CHI,0.3,16,331
2005,SEA,3.4,10,271
2005,CLT,5.2,11,247
2005,NYG,1.7,17,314
2005,CIN,-2.7,14,350
2005,SDG,2.9,16,312
2005,KAN,1.9,10,325
2005,DEN,5.8,7,258
2005,CAR,2.1,16,259
2005,PIT,4.0,14,258
2005,NWE,-0.5,15,338
2005,RAM,-6.4,24,429
2005,JAX,3.7,6,269
2005,WAS,3.4,11,293
2005,ATL,-2.3,13,341
2005,DAL,3.2,17,308
2005,MIA,0.3,16,317
2005,CRD,-3.0,21,387
2005,PHI,-1.7,20,388
2005,MIN,-2.1,16,344
2005,TAM,1.8,14,274
2005,OTI,-5.5,14,421
2005,GNB,-2.2,30,344
2005,RAI,-1.6,14,383
2005,BUF,-1.8,16,367
2005,RAV,1.7,21,299
2005,HTX,-5.7,13,431
2005,CHI,6.6,15,202
2005,DET,-2.4,18,345
2005,NYJ,-1.2,15,355
2005,SFO,-5.5,21,428
2005,NOR,-4.9,24,398
2005,CLE,1.7,17,301
2006,SDG,0.2,9,303
2006,CHI,3.0,22,255
2006,CLT,-1.1,9,360
2006,DAL,-1.3,21,350
2006,NOR,-0.9,13,322
2006,PHI,0.2,9,328
2006,NWE,5.9,12,237
2006,CIN,0.0,13,331
2006,JAX,4.9,14,274
2006,RAM,-4.7,8,381
2006,NYG,-1.1,18,362
2006,RAV,7.8,14,201
2006,PIT,0.4,23,315
2006,SEA,-1.9,22,341
2006,KAN,0.6,12,315
2006,OTI,-2.3,19,400
2006,DEN,2.1,18,305
2006,NYJ,1.7,16,295
2006,CRD,-4.3,17,389
2006,WAS,-2.0,10,376
2006,DET,-4.6,22,398
2006,GNB,-2.1,18,366
2006,BUF,2.4,14,311
2006,SFO,-5.2,16,412
2006,ATL,-0.2,15,328
2006,MIN,-0.4,20,327
2006,CAR,1.5,17,305
2006,HTX,-1.3,13,366
2006,MIA,4.0,19,283
2006,CLE,-1.3,25,356
2006,TAM,-0.8,18,353
2006,RAI,0.7,24,332
2007,NWE,4.2,9,274
2007,DAL,1.7,19,325
2007,CLT,5.4,14,262
2007,GNB,3.3,15,291
2007,SDG,4.5,16,284
2007,JAX,2.0,8,304
2007,CRD,-5.9,24,399
2007,CLE,-3.3,20,382
2007,PIT,4.3,14,269
2007,SEA,0.9,13,291
2007,CIN,-4.0,20,385
2007,HTX,-2.5,21,384
2007,NOR,-4.5,18,388
2007,NYG,0.4,20,351
2007,MIN,2.4,14,311
2007,DET,-5.0,22,444
2007,PHI,5.1,15,300
2007,WAS,4.3,11,310
2007,TAM,3.6,8,270
2007,CHI,1.4,21,348
2007,DEN,-3.8,15,409
2007,OTI,3.6,17,297
2007,RAI,-2.5,20,398
2007,RAV,-1.8,14,384
2007,NYJ,0.3,19,355
