years,abbreviation,yards,margin_of_victory,offensive_simple_rating_system,pass_attempts,pass_completions,pass_first_downs,pass_net_yards_per_attempt,pass_touchdowns,pass_yards,percent_drives_with_turnovers,percent_drives_with_points,plays,points_contributed_by_offense,rank,rush_attempts,rush_first_downs,rush_yards,rush_yards_per_attempt,turnovers,win_percentage,yards_per_play,first_downs
2002,KAN,6000,4.3,8.4,477,292,179,7.2,27,3622,7.9,42.7,965,145.45,1,462,140,2378,5.1,15,0.5,6.2,343
2002,RAI,6237,9.1,6.3,619,418,226,6.8,26,4475,9.4,42.7,1069,123.35,2,414,113,1762,4.3,19,0.688,5.8,366
2002,NOR,5205,2.8,5.8,538,291,169,6.0,27,3441,14.6,38.5,1001,-77.44,3,426,91,1764,4.1,30,0.563,5.2,291
2002,PHI,5604,10.9,4.5,548,318,164,5.8,27,3384,12.0,36.0,1073,-15.34,4,489,124,2220,4.5,24,0.75,5.2,311
2002,ATL,5535,5.5,3.5,479,268,163,6.1,18,3167,13.2,38.6,1038,38.4,5,523,123,2368,4.5,27,0.594,5.3,316
2002,GNB,5560,4.4,2.4,580,361,197,6.0,29,3627,14.1,34.8,1058,-6.25,6,451,94,1933,4.3,28,0.75,5.3,318
2002,DEN,6090,3.0,3.0,554,359,199,6.4,21,3824,14.9,37.6,1057,42.47,7,457,125,2266,5.0,27,0.563,5.8,357
2002,PIT,5952,2.8,3.1,551,350,200,6.6,26,3832,16.8,35.7,1097,1.38,8,512,119,2120,4.1,36,0.656,5.4,343
2002,MIN,6192,-3.3,3.1,558,337,191,6.1,19,3685,19.9,35.6,1080,66.42,9,473,139,2507,5.3,41,0.375,5.7,350
2002,NWE,5085,2.2,2.1,605,374,184,5.6,28,3577,11.9,34.6,1031,-32.13,10,395,99,1508,3.8,24,0.563,4.9,304
2002,BUF,5591,-1.1,2.1,612,377,218,6.0,24,3995,15.8,35.9,1054,8.45,11,388,90,1596,4.1,31,0.5,5.3,355
2002,MIA,5392,4.8,1.7,455,271,155,6.0,18,2890,15.7,34.6,1010,-18.71,12,530,139,2502,4.7,30,0.563,5.3,318
2002,SFO,5701,1.0,0.7,571,354,182,5.8,23,3457,9.2,37.6,1082,66.68,13,489,141,2244,4.6,17,0.625,5.3,342
2002,OTI,5272,2.7,1.6,500,306,182,6.4,22,3320,13.2,34.6,1032,9.52,14,511,112,1952,3.8,25,0.688,5.1,312
2002,NYJ,5036,1.4,0.9,485,329,190,6.6,25,3418,10.7,36.1,917,34.42,15,400,86,1618,4.0,19,0.563,5.5,300
2002,SEA,5818,-0.9,0.0,587,361,208,6.6,19,4078,15.6,33.0,1050,28.89,16,430,104,1740,4.0,28,0.438,5.5,347
2002,CLT,5616,2.3,0.4,591,392,213,6.6,27,4055,16.4,33.9,1048,-4.6,17,434,93,1561,3.6,32,0.625,5.4,324
2002,TAM,5002,9.4,-1.0,567,348,172,5.7,23,3445,10.7,32.6,1022,-43.76,18,414,90,1557,3.8,21,0.75,4.9,287
